시설명,userid,평점,코멘트
대구실내빙상장,ubhuehvcl,1,자연과의 접촉이 부족했습니다.
전라북도 남원의료원,hgtrlk786,3,전망대에서 보는 풍경이 최고였습니다.
인천광역시 중구 체육시설,berfx71xo,3,친구들에게 추천할 만한 곳입니다.
전주시네마타운,ewtszfilb,1,시설이 조금 낡았지만 여전히 좋았습니다.
서울사이버대학교,pbxpjzj8e,2,환경이 청결하지 않았습니다.
청남대,ruqtxella,3,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
군 복지시설_체력단련장,sskbxyr4q,2,주변 경관이 별로였습니다.
보성차밭 빛축제,svryb8c0y,3,친절한 직원들이 인상적이었습니다.
한길이에스티,wcmatq0xq,2,시설이 조금 낡았지만 여전히 좋았습니다.
천안중앙직업전문학교,zluhd9nja,3,청결한 환경과 좋은 서비스에 만족했습니다.
청주푸른병원,nyzppvpnv,2,주변 자연 경관이 좋지 않았습니다.
시화병원,fdgalqwiq,5,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
원주근로자종합복지관,partv8rdk,4,여름에 가면 더욱 좋을 것 같아요.
스카이팜에듀교육원,yffhz0h7d,4,휴식을 취하기에 최적의 장소입니다.
DW아카데미학원,rixso3yhb,5,서비스와 시설이 매우 인상적이었습니다.
국립대구기상과학관,twjoeaklv,3,편리한 위치에 있어 접근하기 쉬웠습니다.
정방폭포,rioat687w,2,시설 사용이 매우 불편했습니다.
서산시 체육시설,fcxvx99c3,3,서비스가 정말 좋았어요.
안산시 체육시설,wdubyleev,1,시설 사용이 매우 불편했습니다.
SKY하늘안과의원,dqmajvyvd,4,여유롭고 편안한 분위기가 좋았습니다.
대한안과의사회 좋은사람들 성모안과 ,piiwngfex,2,가족 여행에 적합하지 않았습니다.
라온치과병원 창원마산점 ,sfvpb8ojz,4,시설 이용이 편리하고 안내도 잘 되어 있습니다.
티파니 안경타운,jitrvv7tq,5,편리한 위치에 있어 접근하기 쉬웠습니다.
창원자생한방병원,bishnamsu,2,주변 자연 경관이 좋지 않았습니다.
독일안경원,jnynma7yx,2,뷰가 별로였습니다.
양주시 체육복지센터,nwxftt7x1,1,시설 사용이 불편했습니다.
제주돌문화공원,gvzifokpo,1,주차 공간이 부족했습니다.
가평군 가평파크골프장,hqsyl6u2k,4,서비스와 시설이 매우 인상적이었습니다.
인천광역시의료원,lsseqlggb,4,시설 내 편의시설이 잘 갖춰져 있었습니다.
서산시 주민자치센터,uzqydoabq,2,친구들에게 추천하기 어려운 곳입니다.
가평군 보건소,ltpsd1xxj,3,서비스가 매우 친절하고 전문적이었습니다.
군 복지시설_휴양시설,bddjm4i4a,5,자연 경관이 매우 아름답습니다.
안동의료원,vitulgm0d,5,시설 내 편의시설이 잘 갖춰져 있었습니다.
두타산휴양림,vgdtln03d,5,가족과 함께 즐거운 시간을 보냈습니다.
영광군 공영주차장,xfoffnjc7,4,뷰가 정말 아름다웠어요!
통영시 주차장,hzagotdtg,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
안경세상,kzuhxatih,5,전반적으로 만족스러운 경험이었습니다.
카페 하우짓,efyvbizut,5,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
롯데시네마 제주삼화지구관,bwsee1xy9,2,환경이 청결하지 않았습니다.
과천시 문화교육센터,vcauuu57c,3,매우 만족합니다.
창녕공설테니스장,fjfqngld7,4,깨끗하고 정돈된 환경이 좋았습니다.
홍천군 홍천생명건강과학관,gqnrebfjr,2,시설 내 모든 것이 정비되지 않았습니다.
청주자생한방병원,kwlalsw2z,2,여름에는 너무 더웠습니다.
구리시 보건소,viikc32wj,5,시설이 매우 깔끔하고 현대적이었습니다.
조은소리보청기대구점,ygwqub2z2,3,자연 경관이 매우 아름답습니다.
영월군 지정문화재,gabsgj4fy,2,다양한 시설과 편의시설이 부족했습니다.
철원군 고석정 및 철의 삼각지,qkvit80dv,5,주차 공간이 넉넉해서 편리했어요.
한림대학교 춘천성심병원,zybeyjywh,2,시설 관리가 잘 안되고 있었습니다.
시흥시 체육시설,ibefh48kh,4,여기서 많은 추억을 만들었어요.
오륜동 풋살장,zylmxwy45,5,다음에 또 오고 싶어요.
대구승마힐링센터,vrauzj14e,1,뷰가 별로였습니다.
세명대학교 부속 제천한방병원,uzmou1xwl,3,뷰가 정말 아름다웠어요!
거창군 보건소,ywxfb9x9l,4,여유롭고 편안한 분위기가 좋았습니다.
경희의료원 경희대학교병원경희대학교치과병원경희대학교한방병원 ,hdzzihn0v,2,조금 붐비긴 했지만 전체적으로 만족합니다.
의왕시 장사시설,mdiinbn8q,5,주차 공간이 넉넉해서 편리했어요.
일산제일안과,qstlbxgfc,3,시설 사용이 매우 편리했습니다.
대한안과의사회_강남서울안과,ruqdx9wl4,3,시설 사용이 매우 편리했습니다.
동작구 공영주차장,fbzczxili,4,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
여수예술랜드,odwin4eco,3,친구들과 함께 와서 즐거운 시간을 보냈습니다.
단국대학교병원,ttbrd2at0,5,여유롭고 편안한 분위기가 좋았습니다.
올바른치과,jcjbc4ohd,4,휴식을 취하기에 최적의 장소입니다.
대한안과의사회 김진갑안과 ,omuqt5vpf,5,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
스마트치과병원,nclgpg0bi,3,시설 내부가 넓고 쾌적합니다.
인천광역시 중구 문화회관,yobzutauu,2,직원들이 조금 더 친절했으면 좋겠습니다.
 주 강촌레일파크,accxxbxnt,3,다양한 활동과 프로그램이 있어 좋았습니다.
밝은미소안과,xymwwwuj3,5,아이들이 놀기에 안전한 환경입니다.
대영목욕탕,jpxnm6why,5,가족 모두가 만족한 여행이었습니다.
영광군 노인복지관,fvdcl4kh9,4,가성비가 좋습니다.
안경박사,wtsjlb4n4,3,아이들과 함께 즐거운 시간을 보냈어요.
롯데시네마 제주아라관,cppygu3t8,3,서비스와 시설 모두 훌륭했습니다.
하나로의료재단,dvznfcyf9,2,친절한 직원들이 부족했습니다.
태백산재병원,aaffhy1uz,4,아이들과 함께 즐거운 시간을 보냈어요.
하동군 구재봉 자연휴양림,dryub9d9h,2,시설이 매우 실망스러웠습니다.
부산광역시 서구 공영주차장,vyetk89cm,3,휴식을 취하기에 최적의 장소였습니다.
노원구 자연체험시설,xxsjwciy4,4,가족 모두가 만족한 여행이었습니다.
알콩카페,xnkzu4vxm,2,편의시설이 부족해서 불편했습니다.
에코트로닉스,fytnoprfl,5,깨끗하고 편안했어요.
안성시 평생교육 학습관,vwtcly3bs,4,시설의 청결 상태가 매우 좋았습니다.
금정구 테니스장,koitlefma,4,추천합니다!
산청군 공설묘지,xumnutzq3,2,아이들과 함께하기에는 불편한 점이 많았습니다.
고신대복음병원,dxtfnybiu,1,직원들이 조금 더 친절했으면 좋겠습니다.
화성시 공영주차장,kicqshvwe,3,가격 대비 만족도가 높습니다.
동산병원,qqqndqx9v,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
강서구 공영주차장,ltqua784f,2,시설이 조금 낡았지만 여전히 좋았습니다.
구갈서울안과,dgwrix8su,1,여름에는 너무 더웠습니다.
한길이에스티,bcdei615y,3,시설 내부가 넓고 쾌적합니다.
서전 안경원,nmbcms7bl,3,친절한 직원들이 인상적이었습니다.
부산광역시 남구 공영주차장,fsfyzt3w5,2,다양한 활동과 프로그램이 부족했습니다.
청주현대병원,uqbldmlu3,5,친구들에게 추천할 만한 곳입니다.
 창원 상남 굿모닝내과병원,syloyijy4,4,시설의 위치가 좋아 접근성이 뛰어났습니다.
아리아팜 꽃·카페,iadwn3ogb,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
인제군 사회복지관 시설,foguqmm8t,3,친구들에게 추천할 만한 곳입니다.
광주한국병원,pjbntmro2,5,직원들이 친절하고 도움이 많이 되었습니다.
강남자생한방병원,okucukc9p,4,전망대에서 보는 풍경이 최고였습니다.
백두산한의원,tlogv4uwz,5,시설 내 모든 것이 잘 정돈되어 있어 사용이 편리했습니다.
동작구 체육시설,qgpnu7v2a,3,가족 여행에 추천합니다.
한마음병원,zmircmoe6,2,시설의 청결 상태가 불만족스러웠습니다.
제주공룡랜드,cukmi7n69,5,깨끗하고 편안했어요.
태백산민박촌,xpcvdcsfr,3,재방문 의사 있습니다.
이천병원,oqbmrc0o3,4,서비스와 시설이 매우 인상적이었습니다.
인천광역시의료원,qfjnxl4pa,2,조금 아쉬운 부분이 있었어요.
밝은눈안과 부산서면점 ,bzsnruvby,5,다시 방문하고 싶어요.
미소진치과의원,azkcnfhim,4,자연과 함께하는 시간이 힐링이 되었어요.
곡성군 보훈회관,uyaeqxcmg,3,가성비가 좋습니다.
광명새움병원,blgcfun8c,3,편리한 위치에 있어 접근하기 쉬웠습니다.
구로구 공영주차장,bccybzuao,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
국민은행,pvdpg9d39,5,조용하고 한적한 곳이라 마음에 들었습니다.
가평군 가평보납정,gdxijfqsk,3,가격 대비 만족도가 높았습니다.
GS안과,kcmwzxvr3,5,다양한 시설과 편의시설이 있어 매우 편리했습니다.
글라스스토리 제주점,ljnfwasip,4,친절한 직원들이 인상적이었습니다.
대한안과의사회 센텀소중한눈안과 ,afnbw0daa,2,주차 공간이 부족했습니다.
중앙환경직업전문학교,irmjz18me,2,시설 내 모든 것이 정비되지 않았습니다.
보훈휴양원,hhfrk3g3e,4,추천합니다!
대한안과의사회-천안김안과 천안역본점,dzivlmj2s,2,자연과의 접촉이 부족했습니다.
성산일출봉,tpjkqv4e0,2,시설 사용이 불편했습니다.
스마트치과병원,zrbnfphkv,4,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
진도군 문화시설,poprmn8il,3,서비스가 매우 친절하고 전문적이었습니다.
양주시 고덕생활체육공원,jmjgkspe9,2,시설 이용이 불편했고 안내가 부족했습니다.
서대문형무소역사관,szjavsqby,4,정말 훌륭한 시설입니다!
품안에 치과,kaqqh0ehb,4,여름에 가면 더욱 좋을 것 같아요.
남해군 국민체육센터,wpdkz7960,1,편의시설이 부족했습니다.
허브아일랜드,yylali3od,5,주차 공간이 넉넉해서 편리했어요.
대한미용사회 충청북도지회,ebmgdognm,2,청결한 환경이 아니었습니다.
대전시립제2노인전문병원,bkekvnecm,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
한림공원,djohritfi,4,전망대에서 보는 풍경이 최고였습니다.
상주장례식장,cbhasrhyz,1,시설 사용이 불편했습니다.
킹덤치과,wgbaydkhg,2,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
국립국악원,jfngt0vft,5,서비스가 매우 친절하고 전문적이었습니다.
영광군 체육시설,ulbcdiotw,1,조금 아쉬운 부분이 있었어요.
통영시 추모공원,smypjscb4,3,휴식을 취하기에 최적의 장소였습니다.
가톨릭대학교 부천성모병원,hunrseygq,2,시설이 낡고 깨끗하지 않았습니다.
군 복지시설_마트,vpgciszeq,2,주변 경관이 별로였습니다.
CM세무직업전문학교,hcexnndgi,1,시설 내 모든 것이 정돈되지 않았습니다.
명복공원,qnsfqhvy6,1,다양한 시설과 편의시설이 부족했습니다.
목포추모공원,lnkfr9xe9,3,위치가 좋아서 접근성이 뛰어납니다.
한국건강관리협회경기도지부,wnfkhymnn,5,아이들이 놀기에 안전한 환경입니다.
함안군 보건소,jtkeyxv00,4,뷰가 정말 아름다웠어요!
탑플랜트치과,gcyam3djs,4,다양한 프로그램과 활동이 있어 좋았습니다.
청도용암웰빙스파,xcjohytex,1,다양한 프로그램과 활동이 부족했습니다.
청남직업전문학교,zibrvaxxc,1,서비스와 시설이 매우 실망스러웠습니다.
대한안과의사회 현탑안과 ,dsvym2qsz,2,전반적으로 만족스럽지 않았습니다.
 주 한얼누리 ,bsosjpkmp,5,시설의 청결 상태가 매우 좋았습니다.
선치과병원,zdkjgmj63,4,가족 모두가 만족한 여행이었습니다.
효성병원,bafslsljt,4,시설이 매우 잘 관리되고 있었습니다.
강서구 체육시설,zhspntqnt,4,아이들이 놀기에 안전한 환경입니다.
경기도어린이박물관,tpnrkudz7,3,자연과 함께하는 시간이 힐링이 되었어요.
밀양시 공설화장장,ennzwqhml,5,청결한 환경과 좋은 서비스에 만족했습니다.
허브아일랜드,bshnkzvtd,1,자연과의 접촉이 부족했습니다.
제주한라병원,orlcu33ew,4,다양한 활동을 즐길 수 있어서 좋았어요.
석재홍한의원,mbvac63t3,5,가격 대비 만족도가 높았습니다.
광주신세계안과,gkxfngt8s,1,시설 이용이 매우 불편했습니다.
의왕시 보건소,wsvgc58t4,1,주변 자연 경관이 좋지 않았습니다.
남해군 체육시설,gszbmhb32,4,시설 사용이 매우 편리했습니다.
대한안과의사회_아이리움안과,okgqcqe3h,4,서비스가 정말 좋았어요.
이천시 공영주차장,brrokwkqg,1,서비스와 시설 모두 개선이 필요합니다.
곡성군 심청효문화센터시설,rwiiny166,2,친구들에게 추천하기 어려운 곳입니다.
밝은성모안과,ujrxh7sru,4,친구들에게 추천할 만한 좋은 곳입니다.
하동군 구재봉 자연휴양림,miqoaffkw,3,깨끗하고 정돈된 환경이 좋았습니다.
진도자연휴양림,ftkotd7pr,1,친구들과 함께 가기에는 적합하지 않았습니다.
 주 바일테크놀러지,foelgvr23,1,자연 경관이 좋지 않았습니다.
대한안과의사회-밝은빛안과,nnmvs5mea,4,시설 내부가 넓고 쾌적합니다.
중미산휴양림,vpjkvmwqs,1,서비스와 시설 모두 개선이 필요합니다.
성누가병원,xhxgkbyfh,3,여름에 가면 더욱 좋을 것 같아요.
고성 통일전망대,keeexhmx6,1,가격 대비 만족도가 낮았습니다.
여수시 체육시설,ptollx6dv,2,시설 사용이 매우 불편했습니다.
부평성모안과,dzwgfjiom,1,청결한 환경이 아니었습니다.
해운대구 공영주차장,bpwxhns3o,3,가격 대비 매우 만족스러운 경험이었습니다.
동작구 공영주차장,zplkopkf1,3,시설 내부가 넓고 쾌적합니다.
창명제어기술,lfeqx2y55,1,청결한 환경이 아니었습니다.
부산광역시 공영주차장,yxcfq8rdc,2,가격 대비 품질이 좋지 않았습니다.
고신대복음병원,epxfujdig,1,친구들에게 추천하기 어려운 곳입니다.
나인포레스트 이화원,sodrqtr8a,2,다양한 프로그램과 활동이 부족했습니다.
보오구웨딩스튜디오,mzlrgfyxl,3,다양한 활동을 즐길 수 있어서 좋았어요.
파주병원,lkfqqv19w,1,시설이 너무 붐비고 혼잡했습니다.
증평군 공영주차장,ooopv8ip7,3,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
하동군 금오산어드벤처 레포츠 시설물,kfqvwrz3b,5,친구들에게 추천할 만한 곳입니다.
the큰병원,ynbjjc2m0,4,다양한 활동과 프로그램이 있어 좋았습니다.
인제군 사회복지관 시설,yzvix4796,5,가성비가 좋습니다.
안성시 공영주차장,vrwaysj51,5,시설 이용이 편리하고 안내도 잘 되어 있습니다.
시흥시 공영주차장,gwsuxt52m,1,시설이 조금 낡았지만 여전히 좋았습니다.
인제대학교일산백병원,vfniz45pt,1,시설의 위치가 불편해서 접근성이 떨어졌습니다.
커피놀이터,lbakjh646,5,가족 모두가 만족한 여행이었습니다.
우쌤전산세무회계직업전문학교,tufimzg7a,5,전반적으로 만족스러운 경험이었습니다.
안양시 공영주차장,sflmettb4,3,시설의 위치가 좋아 접근성이 뛰어났습니다.
거제식물원,sqhfzwhgs,4,친구들에게 추천할 만한 좋은 곳입니다.
대전대학교 대전한방병원,tvlub3ox6,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
종로구 보건소,vvtrr7wgt,5,다양한 활동과 프로그램이 있어 좋았습니다.
서울사이버대학교,fojoian43,3,자연 경관이 매우 아름답습니다.
인천광역시 농기계 임대,raznrk3vw,5,친구들에게 추천할 만한 좋은 곳입니다.
남양주시 주민자치센터,vutuvvrt0,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
군포시 초막골생태공원,mfrwwosuq,5,다양한 활동과 프로그램이 있어 좋았습니다.
부산진구 체육시설,uounmuk7w,3,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
스카이라인루지 통영,smikq21hm,3,전망대에서 보는 풍경이 최고였습니다.
철원군 병영체험수련시설,twculqcvi,4,시설 사용이 매우 편리했습니다.
열정치과,jndmsznve,3,주차 공간이 넉넉해서 편리했어요.
대한안과의사회 에스안과 ,xxygxb0ww,2,여름에는 너무 더웠습니다.
E-world 구 우방랜드 ,wzzlkewar,1,편의시설이 부족했습니다.
광주문화예술회관,nrjcjjspr,5,서비스와 시설이 매우 인상적이었습니다.
백운산휴양림,bktct2v91,2,다양한 시설과 편의시설이 부족했습니다.
포천병원,cvgxauhef,5,시설 이용이 매우 편리하고 좋았습니다.
창원시립장사시설,nmkzl0083,1,다양한 활동과 프로그램이 부족했습니다.
나우리 요양병원,brvzg1de5,3,전체적으로 기대 이상이었습니다.
대전대학교 천안한방병원,zpjarcifo,4,친절한 직원들이 인상적이었습니다.
신불산폭포자연휴양림,kxzheppv8,1,아이들이 놀기에 안전하지 않았습니다.
진주시 공영주차장,gxktfthbo,4,시설 관리가 잘 되어 있었습니다.
GS안과,imvkqodqh,3,편리한 위치에 있어 접근하기 쉬웠습니다.
대한안과의사회 한솔안과 ,jgzdf4zbf,5,주변 경관이 아름답습니다.
인천광역시 연수구 공영주차장,gzxnlqtp2,4,여유롭고 편안한 분위기가 좋았습니다.
양주시 에코스포츠센터,xftvpxxkb,1,가족 모두가 만족하지 않았습니다.
인천광역시 하늘문화센터,ybvfp4v1h,4,가족과 함께 즐거운 시간을 보냈습니다.
양주시 옥정배수지체육공원,sxmughuhu,2,활동이 다양하지 않았습니다.
노원구 보건소,yxymxeni2,1,가격 대비 품질이 좋지 않았습니다.
동구릉,krmts3zcl,5,추천합니다!
창녕국민체육센터,ahmojthc3,5,정말 훌륭한 시설입니다!
군 복지시설_마트,iobfxtwjl,2,주변 경관이 별로였습니다.
함안 체육관,cxjenh4n5,4,위치가 좋아서 접근성이 뛰어납니다.
인천광역시 미추홀구 보건소,oghdxofmb,5,음식이 맛있었고 다양한 메뉴가 제공되었습니다.
라온치과병원 창원마산점 ,mzyidr8ll,5,추천합니다!
분당밝은안과병원,gwccpahmg,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
해남군 장사시설,jfugdds9p,3,위치가 좋아서 접근성이 뛰어납니다.
거제시 체육시설,ujfuqyx6x,2,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
가톨릭대학교 인천성모병원,cnolxthkg,5,시설의 위치가 좋아 접근성이 뛰어났습니다.
대금굴,fosrkyywj,2,시설이 조금 낡았지만 여전히 좋았습니다.
부산엑스더스카이,smarvlen0,5,자연 경관이 매우 아름답습니다.
화홍병원,laauj08m4,1,다양한 시설과 편의시설이 부족했습니다.
대구동부여성문화회관,sxwrell6s,1,시설이 현대적이지 않고 매우 낡았습니다.
광주연세안과,wctdmlo3j,1,한 번쯤 가볼 만하지만 다시 방문하고 싶지는 않습니다.
김치나라,xqbksdaik,3,가격 대비 만족도가 높았습니다.
전주병원,ujcdgfws4,5,다양한 시설과 편의시설이 있어 매우 편리했습니다.
대전대학교 서울한방병원,enlve9py7,5,다양한 프로그램과 활동이 있어 좋았습니다.
여수시 체육시설,qnlxwzhm8,2,위치가 불편해서 접근성이 떨어졌습니다.
산음휴양림,maxpj68zj,5,여름에 가면 더욱 좋을 것 같아요.
대한안과의사회-세종우리성모안과,tmrot26tc,5,시설 사용이 매우 편리했습니다.
양주시 목재문화체험장,klwixzj2v,5,다양한 활동을 즐길 수 있어서 좋았어요.
부산엑스더스카이,rrudjtt9w,5,다양한 프로그램과 활동이 있어 좋았습니다.
용대휴양림,wueyk5q2d,2,주변 자연 경관이 좋지 않았습니다.
글라스스토리 제주점,azdysaaue,1,주차 공간이 부족했습니다.
칠보산휴양림,rhxqe5jt7,1,아이들이 놀기에 안전하지 않았습니다.
탐라탁구교실,gxnayeygp,1,시설 사용이 불편했습니다.
대전병원,neqmc65va,1,시설 사용이 매우 불편했습니다.
교래자연휴양림,jqtly2hkm,5,서비스가 정말 좋았어요.
부산아쿠아리움,uysgqcv7l,5,서비스와 시설 모두 훌륭했습니다.
인천광역시 미추홀구 국민체육센터,pubuxo2kw,5,가격 대비 매우 만족스러운 경험이었습니다.
파주병원,olobdvyy1,5,추천합니다!
강남서울밝은안과,ggxbhapej,4,휴식을 취하기에 최적의 장소입니다.
베토벤 안경원,stkcf55bx,4,정말 훌륭한 시설입니다!
거제포로수용소 유적공원,kknhqq9gl,4,시설이 매우 잘 관리되고 있었습니다.
대한안과의사회 조은눈 굿아이 안과 ,vgmkjkdja,1,시설이 불편하고 깨끗하지 않았습니다.
사천시 체육시설,ysmsrsn8t,4,친구들에게 추천할 만한 좋은 곳입니다.
중랑구 보건소,ialvpxshb,4,환경이 매우 청결하고 좋았습니다.
수영센텀치과,gxvlftd6x,1,서비스와 시설 모두 개선이 필요합니다.
인제군 보건소,enuzdsaw0,3,친구들에게 추천할 만한 곳입니다.
송파구 공영주차장,daubotkg4,2,친절한 직원들이 부족했습니다.
파주시평생학습관,bltyez8p1,4,서비스와 시설 모두 훌륭합니다.
이플란치과,nmbbyoimx,1,서비스와 시설 모두 개선이 필요합니다.
보은군민체육센터,zkctusxi5,3,자연 경관이 매우 아름답습니다.
대한안과의사회 안양 서울안과 ,ymkfwh76v,5,시설이 현대적이고 깔끔합니다.
노원구 체육시설,ljfimsg8a,1,다양한 시설과 편의시설이 부족했습니다.
인천광역시 부평구 체육시설,ogzavm7wp,3,친절한 직원들이 인상적이었습니다.
테일러메이드골프볼코리아,kxnaygch4,2,전망대에서 보는 풍경이 실망스러웠습니다.
메트로병원,ooubx6gby,5,서비스가 매우 친절하고 전문적이었습니다.
횡성군 평생학습관,vynxz0c98,4,위치가 좋아서 접근성이 뛰어납니다.
현대직업전문학교,thpzl4dfe,2,시설 내 모든 것이 정돈되지 않았습니다.
대한안과의사회 조은눈 굿아이 안과 ,dbqbs7377,5,서비스가 정말 좋았어요.
분당연세독수리안과,zhntvverq,5,전망대에서 보는 풍경이 최고였습니다.
효성병원 장례식장,tzqylele8,5,친구들과 함께 와서 즐거운 시간을 보냈습니다.
태백산재병원,tclcvtzy0,2,시설 사용이 불편했습니다.
여수전남병원,mbsvdu4k5,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
인천광역시 하늘문화센터,mfzbdggfi,1,가족 모두가 만족하지 않았습니다.
연산당당한방병원,pqlfzeslk,5,자연 경관이 매우 아름답습니다.
상주시 낙동강자전거이야기촌,xhtgye9he,3,다음에 또 오고 싶어요.
대한안과의사회 에스안과 ,uqyqucz43,4,전망대에서 보는 풍경이 최고였습니다.
철원군 종합문화복지센터,bsshlk9vn,1,주변 경관이 별로였습니다.
일이삼한방병원,evdhbi026,1,시설 관리가 잘 안되고 있었습니다.
상주시 보건소,rvwzc75tz,1,휴식을 취하기에는 적합하지 않았습니다.
김포시 금빛수로 수상레저시설 및 썰매장,gidvrydzf,2,편안하고 조용한 분위기가 아니었습니다.
알콩카페,zdybjkl38,2,시설의 위치가 불편해서 접근성이 떨어졌습니다.
담양국민체육센터,nocnf8q4a,4,서비스와 시설이 매우 인상적이었습니다.
성모안과병원,ofbadvz39,2,서비스와 시설 모두 개선이 필요합니다.
백제치과의원,cauxg2hvx,2,직원들이 조금 더 친절했으면 좋겠습니다.
대구사격장,yfsdiirka,2,시설이 낡고 깨끗하지 않았습니다.
김포시 함상공원,iavffx2q3,3,시설이 매우 잘 관리되고 있었습니다.
노원을지대학교병원,stbbhjv7u,3,가격 대비 매우 만족스러운 경험이었습니다.
부산광역시 중구 공영주차장,fxvan6x3e,5,다음에 또 오고 싶어요.
군포시 문화예술회관,xdnmi3lc1,1,주변 자연 경관이 좋지 않았습니다.
양주시 에코스포츠센터,jimrb6itj,2,시설 사용이 불편했습니다.
김안과병원,zpqjm7cos,2,시설이 조금 낡았지만 여전히 좋았습니다.
대한안과의사회-삼성미라클안과의원,kqqpkwt29,2,주차 공간이 부족했습니다.
부산엑스더스카이,cowpidgym,4,친절한 직원들이 인상적이었습니다.
평창군 광천선굴 어드벤쳐 테마파크,otosp45aa,1,가격 대비 품질이 좋지 않았습니다.
성누가병원,ndeqswdnd,3,가격 대비 만족도가 높습니다.
창녕군립수영장,dxraxh4hh,5,친절한 직원들이 인상적이었습니다.
영광군 대마 전기자동차산업단지 체육시설,nghhl0wu8,5,재방문 의사 있습니다.
나나성형외과,ahtcxldr2,3,휴식을 취하기에 최적의 장소였습니다.
청담한방병원,zhrxg5gm0,1,주변 경관이 별로였습니다.
시화병원,xotayoqeu,5,시설이 현대적이고 깔끔합니다.
중랑구 체육시설,anngphnhj,2,시설 이용이 매우 불편했습니다.
양평군 공설장사시설,ncbntugwh,4,가격 대비 만족도가 높습니다.
동신대학교 광주한방병원,lfzksn8z1,3,전체적으로 기대 이상이었습니다.
전주신기독병원,otiscjzid,4,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
진천 국민체육센터,stagsh7pl,3,가격 대비 만족도가 높았습니다.
대한안과의사회_밝은내일안과,aemawzjg0,4,직원들이 친절하고 도움이 많이 되었습니다.
양구수목원,hazlralna,1,자연 경관이 좋지 않았습니다.
삼성혈,tkrsv17st,4,친구들과 함께 와서 즐거운 시간을 보냈습니다.
노원구 보건소,eszrscc5j,3,서비스와 시설 모두 훌륭했습니다.
전주동물원,borxef7z3,5,서비스가 정말 좋았어요.
한창한방병원,jjqmi64rw,1,시설 이용이 매우 불편했습니다.
거제조선해양문화관,gmgka7p4b,3,휴식을 취하기에 최적의 장소였습니다.
창경궁,dibkajvmo,3,아이들이 놀기에 안전한 환경입니다.
금성제지기계,nboeu8vnr,4,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
대한안과의사회 신촌연세안과 ,stqhwv486,2,휴식을 취하기에는 적합하지 않았습니다.
곡성 문화관광 시설,bwnqqoecc,2,편의시설이 부족해서 불편했습니다.
순천향대학교 부속 천안병원,axeaprq4k,2,직원들이 조금 더 친절했으면 좋겠습니다.
하동군 다목적캠핑장,xsigek2cl,5,가성비가 좋습니다.
용인자연휴양림 주차장,yjltzadoe,5,조용하고 한적한 곳이라 마음에 들었습니다.
광주신세계안과,reajk9rk3,1,시설 이용이 불편했고 안내가 부족했습니다.
방아재 한옥펜션,wqpudy7zb,1,서비스가 불만족스러웠습니다.
태화강 국가정원 전동차,ldxondv00,5,편안하고 조용한 분위기에서 휴식을 취할 수 있었습니다.
전주신기독병원,ddsdxyl0t,3,친절한 직원들이 인상적이었습니다.
파주시체육시설,cbuyqd5rh,1,시설 이용이 불편했고 안내가 부족했습니다.
대한안과의사회 성모안과 ,svvdwbwuq,4,가족 여행에 추천합니다.
청주육거리자동차밧데리할인매장,dvtwtbjwy,2,전망대에서 보는 풍경이 실망스러웠습니다.
청주의료원,glkhu6vva,2,시설의 청결 상태가 불만족스러웠습니다.
사릉,dgwxhrv2o,4,시설 사용이 매우 편리했습니다.
태백국민체육센터,rdasicunp,2,가격 대비 만족도가 낮았습니다.
굿모닝 성모안과,ompdogf42,4,다양한 편의시설과 친절한 서비스가 인상적이었습니다.
대한안과의사회-눈사랑안과,tcorv1xhy,1,여름에는 너무 더웠습니다.
강릉시 공영주차장,ggzfpshr3,3,아이들이 즐겁게 놀 수 있는 다양한 시설이 마련되어 있습니다.
주차장,faujqglf0,5,"전반적으로 좋은 경험이었으며, 추천하고 싶습니다."
창원짚트랙,qclsd7ci0,2,시설이 매우 실망스러웠습니다.
보은군 공영주차장,owmcj8fk3,3,시설이 현대적이고 매우 잘 유지되고 있습니다.
금정구민체육관,rhbbdyyzw,2,가족 여행에 적합하지 않았습니다.
